time_absolute,gpu_util_perc,gpu_mem_used_mb,power_draw_w
1785069563.7000957,43.0,3935.0,44.35
1785069564.7552168,25.0,7297.0,79.72
1785069565.7915022,0.0,641.0,79.97
1785069566.8281567,43.0,4897.0,79.67
1785069567.868002,20.0,6103.0,86.33
1785069568.9049685,100.0,7845.0,314.18
1785069569.9451153,100.0,7845.0,340.58
1785069570.9829743,100.0,7845.0,349.67
1785069572.021129,100.0,7845.0,349.0
1785069573.060553,100.0,7845.0,343.55
1785069574.10052,100.0,7845.0,346.44
1785069575.1384275,76.0,3329.0,119.35
1785069576.1830838,100.0,24873.0,263.52
1785069577.238527,100.0,571.0,187.49
1785069578.2762327,43.0,4921.0,89.49
1785069579.3134613,100.0,7845.0,296.93
1785069580.3530407,100.0,7845.0,348.05
1785069581.3884025,100.0,7845.0,347.83
1785069582.4255729,100.0,7845.0,340.99
1785069583.4653335,100.0,7845.0,349.73
1785069584.505645,100.0,7845.0,351.27
1785069585.5437033,100.0,24875.0,167.68
1785069586.5858114,100.0,24875.0,278.45
1785069587.6279242,100.0,923.0,171.37
1785069588.6656065,100.0,6785.0,143.42
1785069589.7063906,100.0,7845.0,349.77
1785069590.7447622,100.0,7845.0,345.77
1785069591.7815137,100.0,7845.0,349.5
1785069592.820427,100.0,7845.0,345.38
1785069593.857175,100.0,7845.0,350.69
1785069594.8972855,71.0,7845.0,323.45
1785069595.9363778,100.0,24873.0,208.32
1785069596.9726503,100.0,24873.0,274.36
1785069598.0087066,34.0,1841.0,114.25
1785069599.0681224,100.0,6553.0,197.36
1785069600.1048737,100.0,6719.0,348.57
1785069601.1411939,100.0,6719.0,352.28
1785069602.198955,86.0,681.0,234.14
1785069603.2363336,18.0,12841.0,234.53
1785069604.276145,42.0,3313.0,93.25
1785069605.3131528,100.0,6719.0,272.16
1785069606.3531938,100.0,6719.0,347.86
1785069607.3929048,100.0,6719.0,352.12
1785069608.4330711,100.0,12841.0,186.02
1785069609.475944,90.0,513.0,214.93
1785069610.5130332,56.0,6163.0,117.01
1785069611.5534365,100.0,6719.0,351.71
1785069612.5933886,100.0,6719.0,347.84
1785069613.6371262,72.0,6719.0,305.19
1785069614.6814854,100.0,12841.0,211.39
1785069615.720012,70.0,1121.0,148.42
1785069616.761207,100.0,6157.0,232.78
1785069617.8010514,100.0,6157.0,346.92
1785069618.840017,100.0,531.0,159.2
1785069619.8812144,40.0,5971.0,92.84
1785069620.9210222,100.0,6159.0,351.33
1785069621.961332,75.0,7851.0,243.85
1785069623.0001593,72.0,1203.0,155.39
1785069624.0411336,100.0,6159.0,234.89
1785069625.0806785,99.0,6159.0,346.44
1785069626.115571,59.0,511.0,171.12
1785069627.153117,71.0,6165.0,120.99
1785069628.193258,100.0,6721.0,348.03
1785069629.2332132,100.0,6721.0,348.87
1785069630.2729871,76.0,6721.0,325.33
1785069631.3168619,100.0,12843.0,190.18
1785069632.3558629,65.0,983.0,147.42
1785069633.3929684,100.0,6159.0,212.73
1785069634.4365933,92.0,6159.0,337.62
1785069635.4755998,88.0,511.0,163.05
1785069636.513708,40.0,6789.0,95.55
1785069637.5522263,100.0,7847.0,350.82
1785069638.6083224,100.0,7847.0,349.69
1785069639.6455605,100.0,7847.0,344.39
1785069640.685531,100.0,7847.0,351.08
1785069641.744353,100.0,7847.0,340.65
1785069642.785111,89.0,7847.0,326.66
1785069643.8241346,100.0,24875.0,224.89
1785069644.8661244,100.0,24875.0,277.54
1785069645.9045436,43.0,1835.0,140.48
1785069646.9600365,100.0,6159.0,187.26
1785069648.0158699,100.0,6159.0,353.16
1785069649.0519292,61.0,7383.0,192.6
1785069650.0879607,43.0,4797.0,95.47
1785069651.1250103,100.0,6159.0,328.74
1785069652.1638448,82.0,1459.0,250.68
1785069653.2004418,29.0,1835.0,155.89
1785069654.237067,100.0,6159.0,187.6
1785069655.2732732,100.0,6159.0,346.46
1785069656.3075283,100.0,7851.0,225.35
1785069657.348137,42.0,4213.0,99.85
1785069658.3848686,100.0,6159.0,302.59
1785069659.420999,74.0,4721.0,256.24
1785069660.459962,32.0,1885.0,158.29
1785069661.497138,100.0,7521.0,163.87
1785069662.5370047,100.0,7847.0,352.6
1785069663.5979357,100.0,7847.0,348.01
1785069664.640983,100.0,7847.0,348.77
1785069665.7001827,100.0,7847.0,349.99
1785069666.7388165,100.0,7847.0,347.38
1785069667.7762368,70.0,4791.0,266.49
1785069668.8148742,100.0,24875.0,254.34
1785069669.8516743,10.0,23659.0,246.52
1785069670.8882277,41.0,2281.0,100.46
1785069671.9249392,100.0,6721.0,259.99
1785069672.979969,100.0,6721.0,349.59
1785069674.0174494,100.0,6721.0,349.56
1785069675.0561852,100.0,12843.0,222.47
1785069676.0922036,100.0,653.0,220.84
1785069677.1291726,75.0,6789.0,117.5
1785069678.1689236,100.0,7847.0,352.57
1785069679.209759,100.0,7847.0,345.8
1785069680.2491663,100.0,7847.0,347.43
1785069681.2844071,100.0,7847.0,350.8
1785069682.3205514,100.0,7847.0,343.35
1785069683.357177,98.0,7847.0,346.89
1785069684.403046,100.0,24877.0,202.43
1785069685.4407642,100.0,24877.0,276.48
1785069686.4757006,39.0,1843.0,151.46
1785069687.5125198,100.0,6555.0,165.59
1785069688.5495076,100.0,6721.0,351.36
1785069689.5850756,100.0,6721.0,349.36
1785069690.6242583,82.0,3519.0,255.58
1785069691.660118,100.0,12843.0,246.41
1785069692.7001443,42.0,2875.0,100.43
1785069693.7371757,100.0,6159.0,277.74
1785069694.7774746,72.0,6159.0,301.55
1785069695.8160515,44.0,1417.0,159.62
1785069696.8533068,100.0,6789.0,139.87
1785069697.8958352,100.0,7847.0,352.08
1785069698.9374013,100.0,7847.0,343.42
1785069699.9770663,100.0,7847.0,351.08
1785069701.0147986,100.0,7847.0,345.67
1785069702.053163,100.0,7847.0,349.03
1785069703.09332,69.0,7847.0,324.78
1785069704.1569362,100.0,24877.0,222.88
1785069705.201202,100.0,24877.0,277.59
1785069706.240044,36.0,1681.0,114.23
1785069707.2769918,100.0,6159.0,192.35
1785069708.3400934,100.0,6159.0,351.0
1785069709.3949249,41.0,471.0,164.95
1785069710.433083,42.0,6787.0,95.6
1785069711.4731364,100.0,7847.0,325.56
1785069712.5094385,100.0,7847.0,351.51
1785069713.5452077,100.0,7847.0,346.38
1785069714.5815873,100.0,7847.0,347.14
1785069715.622017,100.0,7847.0,351.58
1785069716.6605363,100.0,7847.0,348.4
1785069717.6963701,100.0,24875.0,198.94
1785069718.737434,100.0,24875.0,274.4
1785069719.7765613,66.0,1977.0,172.12
1785069720.8172128,100.0,7517.0,166.06
1785069721.8618736,100.0,7847.0,349.96
1785069722.90482,100.0,7847.0,348.05
1785069723.945757,100.0,7847.0,348.85
1785069724.9852116,100.0,7847.0,349.12
1785069726.0208912,100.0,7847.0,349.61
1785069727.0569172,71.0,7847.0,288.9
1785069728.1178727,100.0,24877.0,240.97
1785069729.159867,100.0,24877.0,272.01
1785069730.2001438,56.0,1103.0,101.22
1785069731.2375774,100.0,6159.0,235.63
1785069732.2808113,100.0,6159.0,351.66
1785069733.3160913,100.0,551.0,163.93
1785069734.357686,59.0,6789.0,116.42
1785069735.4012973,100.0,7847.0,350.29
1785069736.441773,100.0,7847.0,342.92
1785069737.4812064,100.0,7847.0,346.93
1785069738.521121,100.0,7847.0,348.23
1785069739.5611525,100.0,7847.0,353.84
1785069740.6018882,77.0,7847.0,322.24
1785069741.6419945,100.0,24877.0,207.04
1785069742.6837795,100.0,24877.0,281.78
1785069743.7205658,35.0,1835.0,134.14
1785069744.7569077,100.0,6159.0,188.74
1785069745.792891,100.0,6159.0,348.35
1785069746.8511653,100.0,7851.0,208.05
1785069747.8922884,43.0,4455.0,97.1
1785069748.9292889,100.0,7847.0,308.67
1785069749.9692278,100.0,7847.0,347.85
1785069751.0053833,100.0,7847.0,350.63
1785069752.045294,100.0,7847.0,353.66
1785069753.0818045,100.0,7847.0,345.25
1785069754.1207225,100.0,7847.0,355.02
1785069755.1565793,100.0,24875.0,214.04
1785069756.196067,100.0,24875.0,272.84
1785069757.2318463,100.0,895.0,181.49
1785069758.2693202,83.0,6161.0,126.79
1785069759.3134193,100.0,6161.0,350.46
1785069760.354054,100.0,7851.0,232.45
1785069761.3922253,42.0,1643.0,128.96
1785069762.4300334,100.0,7521.0,248.18
1785069763.4691353,100.0,7847.0,351.71
1785069764.5091693,100.0,7847.0,348.85
1785069765.5506332,100.0,7847.0,347.45
1785069766.5896401,100.0,7847.0,352.07
1785069767.6250367,100.0,7847.0,346.73
1785069768.6639724,75.0,24877.0,226.93
1785069769.7223966,100.0,24877.0,282.67
1785069770.785855,100.0,629.0,213.09
1785069771.8283298,42.0,4997.0,97.77
1785069772.8655865,100.0,6159.0,306.75
