model,feature,baseline_mae,importance_mae_increase
LSTM,gpu_util_frac,0.3404117226600647,-0.0007386326789855957
LSTM,gpu_mem_util,0.3404117226600647,0.029827141761779787
LSTM,mem_util_frac,0.3404117226600647,-0.00019205212593078613
LSTM,qps,0.3404117226600647,0.00026093125343322753
LSTM,hour_sin,0.3404117226600647,-0.00876871943473816
LSTM,hour_cos,0.3404117226600647,-0.005167484283447266
LSTM,dow_sin,0.3404117226600647,0.0
LSTM,dow_cos,0.3404117226600647,0.0
LSTM,power_total_kw,0.3404117226600647,-0.0010741591453552247
LSTM,power_total_kw_roc,0.3404117226600647,0.001403665542602539
LSTM,power_total_kw_roll_mean_12,0.3404117226600647,3.4809112548828124e-06
LSTM,power_total_kw_roll_std_12,0.3404117226600647,0.0004711151123046875
LSTM,power_total_kw_roll_mean_72,0.3404117226600647,-0.0006405830383300782
GRU,gpu_util_frac,0.3412248492240906,-0.0047522783279418945
GRU,gpu_mem_util,0.3412248492240906,0.027240514755249023
GRU,mem_util_frac,0.3412248492240906,-0.002237844467163086
GRU,qps,0.3412248492240906,0.00031782984733581544
GRU,hour_sin,0.3412248492240906,-0.012593990564346314
GRU,hour_cos,0.3412248492240906,-0.006433337926864624
GRU,dow_sin,0.3412248492240906,0.0
GRU,dow_cos,0.3412248492240906,0.0
GRU,power_total_kw,0.3412248492240906,-0.004072111845016479
GRU,power_total_kw_roc,0.3412248492240906,0.007695209980010986
GRU,power_total_kw_roll_mean_12,0.3412248492240906,-0.0002720654010772705
GRU,power_total_kw_roll_std_12,0.3412248492240906,0.0004036128520965576
GRU,power_total_kw_roll_mean_72,0.3412248492240906,-0.0005399227142333984
Transformer,gpu_util_frac,0.6387959718704224,-0.001116502285003662
Transformer,gpu_mem_util,0.6387959718704224,0.002152407169342041
Transformer,mem_util_frac,0.6387959718704224,0.0027790188789367674
Transformer,qps,0.6387959718704224,-0.0003252387046813965
Transformer,hour_sin,0.6387959718704224,0.0005597472190856934
Transformer,hour_cos,0.6387959718704224,0.00025975704193115234
Transformer,dow_sin,0.6387959718704224,0.0
Transformer,dow_cos,0.6387959718704224,0.0
Transformer,power_total_kw,0.6387959718704224,-0.001558232307434082
Transformer,power_total_kw_roc,0.6387959718704224,0.00028022527694702146
Transformer,power_total_kw_roll_mean_12,0.6387959718704224,0.00047174692153930666
Transformer,power_total_kw_roll_std_12,0.6387959718704224,0.0002662539482116699
Transformer,power_total_kw_roll_mean_72,0.6387959718704224,-5.092620849609375e-05
